teslimat_saati,bolge_yogunlugu,kullanici_gecmis_basarisi,adres_tipi,hafta_sonu_mu,basari_ihtimali,onerilen_yontem,karbon_kazanci_gram
20,76.29,53.4,1,0,17.28,1,1114.99
12,25.46,47.5,1,0,48.48,2,700.21
14,24.71,60.13,1,1,52.29,2,625.5
18,70.4,73.49,1,0,30.49,1,996.94
13,28.41,60.55,2,0,42.77,2,791.41
15,67.96,65.53,1,0,15.93,1,1128.72
19,37.34,85.9,0,0,49.0,2,653.12
21,31.06,61.98,0,0,40.97,2,821.3
9,9.87,45.32,1,1,50.17,2,736.22
20,62.2,83.27,0,0,29.22,1,1014.19
14,80.33,77.32,2,0,14.51,1,1192.89
11,41.18,78.57,1,1,53.41,2,629.15
13,75.15,84.52,1,0,23.76,1,1070.23
22,21.67,81.13,0,1,40.59,2,803.4
14,46.89,72.57,0,0,37.37,1,896.13
12,26.54,100.0,0,0,66.2,0,446.14
15,67.8,46.3,1,0,13.91,1,1188.37
11,30.05,60.27,0,1,41.31,2,793.43
8,45.97,91.35,2,1,36.37,1,908.66
9,61.24,74.85,1,0,26.66,1,1028.32
9,74.09,87.16,1,0,26.19,1,1072.27
9,75.75,75.4,2,0,14.86,1,1176.03
9,7.85,99.48,2,0,80.41,0,240.2
15,58.64,51.85,0,1,15.48,1,1169.72
10,41.74,98.85,1,0,61.86,2,526.78
12,43.85,95.42,0,0,59.3,2,526.11
20,49.72,47.79,0,0,27.43,1,1067.98
14,17.18,84.61,0,0,71.94,0,368.76
16,54.51,71.14,1,1,35.9,1,956.63
10,24.94,59.87,0,0,47.73,2,675.03
10,13.61,34.23,1,0,29.19,1,1043.09
7,59.85,51.78,1,0,17.94,1,1193.7
10,61.53,86.16,1,0,32.75,1,988.37
11,66.14,88.28,0,0,34.43,1,986.28
10,34.32,67.79,1,1,55.32,2,640.05
8,74.04,88.34,1,0,21.27,1,1069.33
9,46.94,90.91,0,0,56.89,2,612.5
13,66.59,75.09,2,1,25.77,1,1010.17
10,65.61,57.55,0,0,21.58,1,1073.17
12,30.1,80.82,0,0,57.74,2,596.63
14,29.43,81.74,1,0,57.14,2,599.77
16,45.4,85.48,0,0,42.2,2,787.54
7,78.92,89.31,0,0,15.73,1,1107.5
18,36.57,44.76,1,0,31.0,1,973.4
15,44.56,61.8,0,0,37.21,1,919.97
8,50.68,34.03,0,0,10.93,1,1241.34
19,29.9,86.94,1,0,60.69,2,576.14
20,72.24,67.75,1,0,19.06,1,1128.76
8,29.83,80.62,1,0,53.53,2,626.26
11,54.02,42.49,2,1,18.54,1,1142.53
18,56.39,100.0,0,1,38.77,1,875.75
17,59.63,48.11,1,0,10.06,1,1256.31
10,49.5,87.49,1,1,46.32,2,736.92
10,23.44,74.36,0,0,54.27,2,626.87
12,73.38,68.21,2,1,11.27,1,1191.73
14,1.81,66.6,2,0,58.57,2,610.71
15,38.15,59.24,0,0,42.09,2,791.71
12,45.74,97.9,1,1,64.99,2,563.22
13,48.89,72.25,1,1,44.98,2,756.01
17,29.43,46.62,0,0,37.82,1,914.41
7,53.32,64.32,2,1,19.49,1,1072.1
11,51.63,74.57,1,0,37.39,1,910.58
17,59.38,89.96,1,0,43.27,2,751.27
20,58.88,59.91,0,0,19.8,1,1137.24
14,52.9,61.24,0,0,26.75,1,1039.1
14,62.86,72.47,0,1,37.57,1,928.68
9,49.47,89.47,1,1,52.69,2,711.67
13,23.35,44.62,1,0,46.44,2,698.74
14,20.84,82.11,0,0,55.88,2,637.88
11,47.41,62.72,0,1,31.48,1,992.74
11,21.93,65.51,0,0,53.19,2,701.11
12,5.97,100.0,1,0,100.0,2,101.16
5,71.28,68.07,1,0,4.78,1,1310.73
12,80.42,87.09,0,0,15.9,1,1184.71
10,23.88,86.38,0,1,81.41,0,250.74
12,31.48,48.4,0,0,34.4,1,980.84
9,25.74,35.09,0,0,29.08,1,976.43
19,47.77,88.42,1,1,44.79,2,730.75
15,23.37,50.33,0,0,39.78,1,924.64
16,29.92,38.72,0,0,27.07,1,966.38
18,56.9,92.52,1,0,49.46,2,683.95
14,16.42,51.61,2,0,44.26,2,753.38
8,40.19,56.55,2,1,29.21,1,994.23
14,14.08,100.0,2,0,77.68,0,315.28
15,19.02,38.81,1,1,27.9,1,1029.47
17,12.33,46.87,1,0,36.63,1,898.77
13,40.87,62.81,1,0,41.26,2,765.84
9,39.46,67.19,2,0,40.98,2,796.65
11,4.26,54.13,2,1,55.63,2,647.44
12,36.79,48.83,0,0,26.41,1,1037.2
16,12.15,100.0,0,0,80.3,0,232.34
15,78.3,77.26,0,0,21.43,1,1071.98
12,59.0,83.7,1,0,33.67,1,957.14
22,53.58,69.26,1,0,16.87,1,1157.12
15,59.48,77.79,2,0,25.9,1,1017.48
11,34.24,90.66,0,1,60.04,2,590.32
9,57.64,52.07,0,1,29.76,1,1044.03
9,22.81,77.3,2,0,58.03,2,585.13
11,38.21,85.92,0,0,49.4,2,696.24
10,17.98,100.0,0,0,89.01,0,98.7
10,86.62,100.0,1,0,15.35,1,1187.94
11,6.74,73.4,0,0,73.76,0,328.84
10,17.88,94.77,0,0,84.47,0,176.61
20,21.63,18.6,0,1,12.46,1,1178.17
8,77.49,100.0,0,0,21.99,1,1141.56
14,36.35,57.48,1,0,38.21,1,902.92
13,22.92,67.18,0,1,59.02,2,544.21
22,52.92,80.82,0,1,28.42,1,1034.66
9,75.8,68.93,0,0,21.48,1,1099.09
13,36.48,75.93,1,0,60.68,2,553.63
22,13.7,100.0,0,0,63.15,2,551.59
19,16.54,64.32,0,0,47.84,2,627.52
18,63.0,50.26,0,1,19.14,1,1066.09
11,57.95,100.0,0,1,29.37,1,1038.91
10,25.7,82.54,0,1,60.82,2,546.25
16,32.82,100.0,0,0,71.84,0,325.06
20,47.83,89.27,2,0,42.57,2,729.01
14,56.18,45.53,2,0,14.28,1,1184.4
15,50.8,84.91,1,0,46.77,2,728.23
11,57.85,52.32,0,0,21.11,1,1139.94
17,22.67,72.15,1,0,64.82,2,513.35
10,67.46,70.49,0,0,33.98,1,933.15
12,78.45,39.65,1,0,12.94,1,1206.88
13,46.0,55.74,0,0,26.75,1,1062.28
14,39.91,100.0,1,0,65.7,2,518.3
11,9.09,76.77,2,0,69.82,0,380.81
9,30.27,68.49,0,0,40.71,2,799.67
15,63.21,100.0,0,0,33.72,1,927.97
11,45.9,64.08,1,1,43.58,2,726.0
15,61.28,70.17,0,0,33.64,1,910.6
9,30.74,91.82,2,1,63.14,2,534.16
14,66.16,63.99,0,1,19.7,1,1128.56
14,29.06,57.07,0,0,43.17,2,794.81
7,66.34,26.92,1,0,10.55,1,1240.31
12,53.15,53.27,0,0,26.71,1,1060.98
9,34.37,53.08,0,0,34.35,1,933.85
8,4.33,75.17,1,0,67.51,2,493.0
23,68.71,59.79,1,1,10.59,1,1192.9
12,46.87,100.0,1,0,70.84,2,428.06
18,36.55,50.85,1,1,38.05,1,838.49
11,41.54,100.0,0,1,64.13,2,511.44
16,10.12,76.4,0,0,67.58,0,425.83
17,20.3,88.14,0,0,74.47,0,308.45
15,67.92,86.92,2,0,18.6,1,1148.43
13,72.64,27.64,0,0,0.0,1,1358.2
13,16.7,71.77,0,0,59.63,2,547.3
12,46.53,66.76,2,1,44.0,2,746.37
20,42.7,49.34,2,0,28.94,1,1038.11
18,57.77,81.19,1,0,33.68,1,967.37
21,30.21,100.0,0,1,68.53,0,359.1
9,57.91,18.54,1,0,5.4,1,1243.53
17,60.84,61.31,0,0,26.14,1,1042.52
21,48.41,47.08,1,0,26.57,1,1013.7
10,63.57,73.44,0,0,31.38,1,968.08
8,23.65,65.49,0,1,36.79,1,864.84
17,62.03,59.89,0,1,17.55,1,1170.67
15,14.78,85.79,0,0,72.74,0,324.25
19,61.74,100.0,1,0,32.71,1,959.11
9,60.79,100.0,1,0,37.59,1,873.96
18,47.56,57.21,1,1,36.01,1,909.57
10,33.25,35.58,0,0,19.17,1,1123.63
10,27.82,83.18,2,0,65.33,0,397.65
10,54.04,100.0,0,0,43.29,2,754.03
18,10.4,88.27,0,1,81.7,0,261.24
16,24.4,100.0,0,0,77.09,0,222.39
14,55.06,67.49,0,0,22.79,1,1082.06
12,25.82,59.81,0,1,49.13,2,666.88
19,33.86,74.31,0,0,45.94,2,768.81
13,48.36,65.39,2,0,28.65,1,1000.83
18,40.41,85.26,2,0,47.09,2,683.45
13,15.92,91.4,0,1,82.83,0,199.6
12,32.77,92.96,0,0,69.68,0,374.35
13,44.01,82.21,0,0,58.53,2,660.89
11,63.92,76.92,0,0,22.45,1,1017.34
17,79.31,87.89,0,1,12.6,1,1162.78
14,52.64,32.74,0,0,16.02,1,1196.94
11,4.97,76.21,1,0,69.27,2,403.5
20,83.81,73.05,1,0,14.95,1,1170.86
12,52.89,76.26,0,0,36.49,1,897.63
14,34.94,70.25,1,1,54.62,2,605.31
20,36.87,80.64,1,0,48.88,2,688.26
15,51.8,60.51,0,1,31.9,1,957.23
9,20.42,94.59,0,1,81.4,0,254.94
21,18.94,81.47,2,1,57.17,2,633.8
15,40.24,75.01,1,0,42.59,2,781.74
12,82.97,58.05,0,0,10.75,1,1213.97
9,51.52,88.31,1,0,56.36,2,611.47
18,18.39,76.13,0,1,66.44,0,426.82
15,2.67,56.89,1,1,64.64,2,534.38
14,18.02,70.87,0,0,65.9,0,420.32
20,45.32,84.58,0,1,39.98,1,916.11
18,28.91,83.03,1,1,72.63,2,390.0
9,62.42,81.74,1,1,32.82,1,990.31
12,20.78,73.85,0,0,63.94,2,533.9
11,37.29,92.52,0,1,64.91,2,482.82
17,72.51,96.76,0,1,25.86,1,1046.61
7,20.75,86.75,0,0,57.1,2,603.78
15,28.46,60.25,0,1,50.14,2,674.0
17,33.52,50.84,1,0,27.9,1,1010.63
19,41.18,61.12,0,0,30.15,1,942.51
12,39.43,100.0,1,1,73.06,2,382.61
18,8.91,77.63,1,0,76.25,2,357.86
9,18.63,100.0,0,1,86.11,0,149.47
19,30.18,69.6,1,0,37.9,1,869.49
9,29.68,66.82,2,0,38.02,1,925.59
13,64.43,70.52,0,0,28.48,1,1005.12
18,74.22,70.16,2,0,12.52,1,1264.76
9,64.05,56.53,1,1,16.96,1,1153.2
11,18.1,49.02,1,0,49.47,2,717.53
17,74.37,82.03,0,0,23.6,1,1060.52
17,47.37,93.1,1,0,48.45,2,678.75
15,34.62,100.0,0,1,69.34,0,375.83
16,35.52,63.33,1,0,39.64,1,913.24
14,59.45,64.95,1,0,28.21,1,1008.86
11,67.18,56.58,0,0,19.45,1,1130.03
12,55.68,94.51,0,0,37.85,1,903.55
10,4.32,88.3,0,1,92.42,0,87.99
20,73.25,54.46,0,0,17.6,1,1137.42
15,9.95,53.96,2,0,45.05,2,709.49
13,48.68,91.05,0,1,51.13,2,666.05
13,58.31,79.66,0,0,25.95,1,1058.22
21,57.15,87.17,0,1,42.11,2,783.56
9,13.41,54.34,2,1,44.01,2,757.39
15,63.36,34.45,0,0,7.95,1,1276.41
14,42.53,54.5,2,0,28.92,1,1008.8
15,33.2,85.76,1,0,66.74,2,479.56
5,24.07,100.0,2,1,52.79,2,668.6
19,53.82,63.41,0,1,22.25,1,1087.11
20,61.91,100.0,0,0,38.07,1,886.1
15,18.05,88.6,0,0,72.3,0,346.4
16,45.54,44.14,0,0,26.55,1,1030.4
20,61.08,76.28,1,0,25.38,1,1036.97
16,12.71,89.28,0,0,83.16,0,206.77
9,58.75,23.49,0,1,11.09,1,1221.94
15,65.45,84.89,1,1,39.82,1,839.1
15,31.16,95.45,0,1,61.32,2,554.13
13,78.33,79.98,0,0,10.33,1,1281.47
17,62.97,70.77,0,1,26.32,1,1004.81
20,27.04,68.54,1,1,59.32,2,553.09
20,20.69,67.37,0,0,57.9,2,668.57
13,18.29,48.48,1,0,39.13,1,855.74
9,64.37,58.25,0,0,21.02,1,1136.37
22,69.34,63.67,0,1,15.12,1,1161.66
19,36.55,74.27,1,0,50.24,2,678.89
9,24.15,60.86,1,0,55.21,2,613.59
20,44.29,54.62,1,0,24.55,1,1068.18
19,61.2,87.2,1,1,35.49,1,876.7
14,52.88,79.41,0,1,29.25,1,1004.6
15,91.31,61.22,2,0,8.84,1,1231.82
13,58.34,82.13,1,0,35.94,1,862.79
8,11.61,62.94,1,1,48.59,2,730.54
12,45.17,73.26,2,1,39.63,1,811.27
18,58.02,91.5,0,1,38.48,1,952.68
0,30.98,59.93,1,1,39.75,1,891.56
12,43.19,48.55,2,0,20.36,1,1064.84
13,6.93,69.1,0,1,78.64,0,296.48
14,32.12,44.73,0,0,34.64,1,911.86
20,25.03,66.45,1,1,58.23,2,560.12
12,27.21,66.39,0,0,43.18,2,707.8
12,40.91,22.73,2,1,21.63,1,1064.48
17,53.9,82.61,0,1,33.93,1,920.49
13,8.28,68.35,1,0,67.9,2,489.71
10,83.28,95.64,0,0,22.51,1,1114.89
13,59.62,76.31,0,0,33.35,1,912.63
9,74.95,86.71,2,1,14.33,1,1186.15
10,25.05,95.8,1,1,88.6,2,161.54
14,65.01,69.37,0,1,27.19,1,1032.0
13,53.77,71.98,0,0,31.2,1,1040.51
20,34.64,40.53,1,0,18.51,1,1074.43
12,27.22,96.79,1,0,79.66,2,293.67
15,19.72,69.09,1,0,60.19,2,579.5
15,52.35,51.89,1,0,27.98,1,1039.65
4,31.23,86.79,0,1,35.95,1,890.4
16,88.79,28.4,2,0,0.77,1,1384.95
10,43.78,63.41,1,1,43.58,2,732.58
21,5.29,90.17,0,0,86.24,0,215.33
9,35.8,63.25,0,0,39.58,1,889.15
13,30.68,57.64,1,0,51.17,2,704.09
8,32.99,63.68,1,0,43.83,2,765.11
23,80.79,31.8,1,1,6.11,1,1296.4
14,54.61,86.31,2,0,30.2,1,1008.9
15,46.01,69.54,0,0,32.7,1,991.99
8,43.24,66.55,1,1,40.17,2,796.93
17,27.73,66.63,2,1,42.87,2,738.59
10,58.88,72.28,0,0,26.64,1,1027.91
20,27.78,85.07,0,0,54.39,2,607.27
10,63.32,70.96,1,0,27.81,1,998.17
10,19.34,44.77,2,0,37.0,1,955.64
7,47.53,83.51,0,0,34.71,1,952.11
13,19.81,81.97,0,1,73.02,0,341.03
15,58.33,76.11,0,0,33.91,1,975.24
8,72.78,93.5,0,0,13.26,1,1209.39
17,40.06,72.61,0,0,45.0,2,796.05
13,49.11,94.23,1,1,42.05,2,712.56
14,71.95,100.0,2,0,20.77,1,1070.81
13,58.94,83.65,1,0,40.1,2,777.79
13,24.06,57.04,0,0,43.27,2,719.53
14,34.19,69.38,2,0,32.26,1,966.31
9,72.71,96.78,1,0,23.46,1,1073.3
10,34.64,42.05,0,0,14.44,1,1236.03
19,50.79,64.16,0,0,21.7,1,1116.68
21,32.83,65.14,1,0,46.21,2,710.25
12,40.2,54.7,1,0,33.19,1,966.51
11,76.8,89.46,1,1,24.82,1,997.31
16,27.16,79.54,0,0,58.01,2,588.21
13,40.57,57.78,1,1,39.83,1,874.75
6,34.69,84.11,0,0,43.57,2,730.14
9,68.94,68.83,1,1,23.68,1,1059.85
17,33.48,54.2,1,0,44.21,2,728.73
16,74.12,57.74,0,0,2.56,1,1291.34
6,70.74,80.72,0,1,22.92,1,1095.2
10,16.83,90.78,0,1,72.83,0,357.09
11,30.2,62.26,0,1,40.27,2,812.1
16,30.74,82.89,0,1,56.76,2,585.77
5,39.82,100.0,1,0,51.76,2,639.03
9,25.18,46.82,1,0,34.09,1,928.69
18,16.23,79.11,1,0,69.62,2,437.93
10,69.36,88.61,1,0,25.06,1,1023.17
16,37.35,70.1,1,1,52.0,2,687.61
11,71.63,96.77,2,0,28.43,1,1002.83
9,16.53,100.0,0,1,96.17,0,68.95
11,69.79,78.87,1,0,38.21,1,849.49
17,44.25,67.33,0,0,40.78,2,769.93
19,26.18,91.54,0,0,62.64,2,554.06
18,56.16,88.84,1,0,36.76,1,935.1
13,27.85,21.62,0,1,25.93,1,1002.79
16,72.91,71.95,1,1,23.59,1,1076.03
10,49.81,64.11,0,0,30.73,1,991.13
11,30.35,79.93,0,1,60.39,2,534.05
20,34.36,68.13,2,0,33.04,1,964.24
3,48.75,70.3,0,1,14.79,1,1125.07
8,34.61,54.74,0,0,33.28,1,922.8
10,71.09,86.69,0,0,31.77,1,986.68
6,63.4,100.0,2,0,25.84,1,1040.81
10,77.39,55.05,0,0,12.41,1,1203.51
15,39.72,44.06,0,0,26.62,1,1025.25
13,48.29,72.4,1,0,42.04,2,791.62
20,4.24,71.43,1,0,68.42,2,476.46
18,16.92,95.42,1,0,86.9,2,260.91
12,46.43,47.42,0,1,26.8,1,1032.22
11,55.17,61.24,2,0,32.48,1,948.56
12,34.15,29.05,1,1,24.45,1,1039.85
15,43.53,99.5,0,0,56.72,2,567.69
11,28.05,77.01,0,0,58.7,2,563.47
15,34.13,62.73,2,0,40.49,2,775.98
13,18.03,45.55,1,0,45.8,2,778.4
14,74.39,47.39,1,0,9.56,1,1203.83
13,49.54,80.29,1,0,42.16,2,805.22
11,40.87,49.85,1,0,28.36,1,1001.68
21,17.95,74.08,0,0,58.54,2,571.34
17,37.29,100.0,0,0,66.3,0,416.42
9,15.36,65.05,1,1,57.22,2,550.79
19,51.93,52.77,0,1,25.93,1,1014.87
14,49.85,79.64,0,0,46.8,2,681.17
20,36.01,47.48,1,0,28.91,1,991.71
18,25.05,100.0,0,1,80.26,0,209.56
13,95.35,100.0,0,1,8.54,1,1287.04
6,25.21,68.72,1,1,34.95,1,913.12
11,41.59,54.05,1,0,35.49,1,852.73
14,64.26,63.48,0,0,29.05,1,991.34
15,31.29,66.09,1,0,46.98,2,740.44
11,76.85,79.67,1,1,25.46,1,1093.38
9,18.67,92.79,0,1,79.37,0,240.63
18,12.62,51.27,0,0,41.43,2,767.38
22,49.99,92.22,0,0,31.8,1,967.94
14,30.15,84.35,1,0,62.18,2,546.3
10,73.54,61.84,0,1,12.74,1,1163.25
11,16.61,50.27,1,1,47.14,2,706.99
5,38.52,74.32,2,0,29.13,1,998.97
20,69.33,50.81,0,0,13.19,1,1193.06
9,22.85,92.47,0,0,70.02,0,355.45
15,46.43,49.52,0,1,28.98,1,974.12
11,11.64,82.95,0,1,79.62,0,254.7
14,17.74,70.39,1,0,57.97,2,583.01
16,47.58,60.79,1,0,33.79,1,943.13
18,18.15,69.94,0,0,47.38,2,678.96
10,45.2,93.6,0,0,50.48,2,693.44
3,20.53,48.15,0,0,27.54,1,991.06
9,66.6,63.76,2,0,22.01,1,1134.32
20,38.18,56.97,1,1,37.38,1,866.09
19,42.79,71.23,1,1,45.1,2,761.71
15,45.25,58.31,0,0,32.25,1,905.76
15,28.66,36.64,0,0,22.76,1,1009.13
16,58.44,50.9,0,0,15.57,1,1146.48
10,72.56,100.0,2,1,24.61,1,986.87
20,28.38,76.93,1,1,53.45,2,660.51
13,39.14,76.25,1,0,50.45,2,674.0
12,23.57,66.35,1,0,53.32,2,682.19
14,4.3,70.97,0,0,70.01,0,354.83
7,29.18,63.4,0,0,38.41,1,896.36
10,66.81,82.54,0,0,29.63,1,986.33
17,41.83,74.02,0,0,45.27,2,710.59
8,11.09,48.57,0,0,35.81,1,908.06
15,52.13,77.07,0,0,36.31,1,878.22
11,64.34,22.83,1,1,11.91,1,1218.7
13,26.58,80.28,2,0,65.28,0,407.43
11,8.94,43.81,2,1,32.75,1,953.94
12,29.99,70.08,0,0,49.27,2,773.46
17,59.63,48.11,0,0,13.44,1,1176.59
11,24.5,72.06,1,0,59.74,2,572.56
15,33.15,83.57,1,0,58.08,2,581.43
14,49.38,100.0,2,0,44.96,2,775.18
16,31.92,41.17,2,0,26.0,1,1045.13
21,37.81,91.51,1,0,53.89,2,625.16
17,59.4,74.62,0,1,22.9,1,1144.03
10,18.97,62.99,0,0,58.17,2,556.19
6,3.96,87.2,0,0,62.82,2,520.38
11,30.46,67.28,1,1,53.39,2,666.82
15,32.3,86.35,0,1,56.91,2,572.56
7,52.17,52.15,1,0,23.75,1,1087.98
14,45.86,59.34,1,0,37.15,1,889.87
15,24.87,90.87,0,0,72.12,0,364.67
12,17.98,100.0,2,0,78.13,0,291.75
17,51.56,71.3,0,0,39.79,1,869.77
9,7.38,16.25,2,0,4.84,1,1261.85
8,26.62,68.02,2,1,38.57,1,875.44
17,14.37,72.65,0,0,67.17,0,393.49
14,22.83,67.34,0,0,47.35,2,738.45
16,11.87,78.73,0,0,75.48,0,303.85
13,15.18,62.46,1,0,67.33,2,488.18
11,18.44,88.78,0,0,78.37,0,270.09
18,57.84,48.67,2,0,21.78,1,1114.08
18,27.73,96.74,0,0,67.67,0,381.93
16,25.48,100.0,1,1,87.48,2,235.23
11,27.84,53.74,2,0,28.17,1,1012.84
15,60.33,53.73,1,0,19.54,1,1102.41
12,17.53,80.21,0,1,65.91,0,439.48
8,56.31,48.26,1,1,21.01,1,1127.62
20,57.76,62.15,0,0,21.66,1,1126.21
9,61.9,94.05,0,1,38.93,1,859.94
21,15.21,86.75,0,0,70.59,0,363.48
13,11.87,100.0,0,0,84.58,0,217.76
10,29.75,75.42,1,0,59.02,2,616.88
14,51.01,59.78,0,0,27.21,1,978.27
19,19.01,73.02,1,0,59.5,2,565.89
17,7.56,68.99,0,0,67.2,0,387.92
18,40.77,69.27,0,1,47.69,2,755.46
16,19.47,71.52,0,0,60.95,2,482.3
16,54.02,53.36,0,0,26.61,1,999.3
19,64.83,77.64,0,0,17.47,1,1183.31
11,20.73,43.83,1,1,34.72,1,919.25
14,25.46,57.66,2,1,36.5,1,872.97
10,29.76,69.62,0,0,50.69,2,717.04
22,50.81,26.81,0,1,3.24,1,1268.19
21,29.16,87.38,0,1,60.19,2,588.42
7,74.0,30.94,2,1,7.78,1,1209.78
16,20.33,85.39,1,0,65.16,2,454.83
20,49.85,46.14,1,0,17.47,1,1146.33
10,69.8,63.9,0,0,24.52,1,1030.34
15,44.88,82.38,0,1,51.16,2,674.21
20,22.45,100.0,0,1,69.03,0,425.66
7,5.65,74.33,2,1,51.16,2,661.47
16,63.28,32.35,0,0,0.0,1,1398.83
11,34.7,91.07,1,0,72.78,2,416.38
20,30.97,67.36,0,0,42.05,2,804.02
22,90.39,73.4,0,0,14.36,1,1107.12
21,58.76,83.16,0,0,29.9,1,1010.23
14,44.6,27.49,1,0,18.17,1,1146.48
19,38.99,72.13,0,1,46.04,2,716.67
19,49.04,63.81,2,0,34.53,1,992.46
12,27.87,96.44,0,1,75.54,0,278.75
18,15.14,86.54,0,1,77.13,0,226.21
7,61.8,39.46,0,0,12.95,1,1218.04
15,42.13,97.25,1,0,56.68,2,557.19
11,20.94,80.99,0,1,65.33,0,418.37
9,47.85,41.06,0,1,22.74,1,1117.34
8,11.03,73.12,0,0,62.2,2,548.55
16,63.59,92.7,0,0,31.6,1,963.4
12,67.32,47.72,1,0,22.47,1,1069.86
17,44.28,99.55,0,0,55.06,2,657.21
8,19.19,41.75,1,0,37.76,1,860.25
12,17.07,56.18,1,1,57.19,2,617.0
14,56.22,53.14,2,0,23.98,1,1128.0
18,60.69,99.54,0,0,44.03,2,767.99
12,83.54,62.18,0,1,14.91,1,1163.91
15,42.69,48.74,2,0,30.46,1,979.65
19,30.97,80.9,1,1,68.72,2,440.99
15,37.8,85.22,0,0,61.09,2,527.39
11,30.83,85.35,0,0,61.37,2,547.06
6,16.93,66.57,2,0,32.63,1,978.82
19,49.8,77.09,0,0,36.66,1,958.39
5,39.17,59.0,1,1,19.39,1,1058.68
19,55.58,100.0,0,1,46.12,2,653.35
14,32.1,94.88,0,1,62.35,2,580.75
21,29.09,93.66,0,0,65.38,0,417.12
18,62.32,87.88,0,1,44.67,2,747.24
23,32.7,82.39,0,0,31.56,1,986.29
12,24.24,47.11,2,0,31.87,1,961.94
17,52.8,84.67,1,0,38.63,1,945.65
13,40.41,74.29,1,0,40.05,2,814.12
14,71.6,97.27,1,0,29.86,1,978.27
15,52.96,88.15,0,0,44.64,2,733.52
19,30.67,83.01,0,0,55.57,2,608.89
22,13.44,38.32,2,0,21.66,1,1066.72
17,35.98,70.22,0,0,36.63,1,961.09
13,57.45,60.84,0,1,27.8,1,1020.09
13,33.57,77.05,2,0,38.6,1,851.7
17,48.33,63.69,0,0,25.77,1,1052.89
11,50.63,66.48,2,1,26.03,1,1080.78
9,44.48,81.18,2,0,45.81,2,762.09
12,37.16,63.36,0,0,42.54,2,746.75
11,42.27,74.43,0,1,46.73,2,685.92
11,25.17,41.61,2,0,23.71,1,1108.29
11,37.94,55.35,0,1,34.13,1,891.7
7,15.67,85.12,0,0,54.17,2,641.12
5,71.51,47.4,0,0,16.28,1,1137.64
22,27.94,96.91,1,0,64.76,2,542.33
13,64.75,91.49,1,0,38.26,1,859.22
12,80.17,66.64,2,0,15.55,1,1139.46
16,72.08,100.0,2,0,24.33,1,1076.49
10,18.25,96.86,2,0,63.17,2,545.8
21,32.87,53.01,0,1,29.41,1,1037.86
18,34.6,86.92,1,1,63.34,2,534.17
8,40.65,73.32,0,1,36.91,1,917.6
13,68.27,56.47,0,0,14.84,1,1203.38
19,32.16,50.6,1,0,34.22,1,898.2
21,38.68,91.9,0,0,46.47,2,695.99
13,53.82,60.04,2,0,35.79,1,881.86
15,53.21,69.96,0,1,27.54,1,938.9
10,50.75,53.58,1,0,33.46,1,973.71
23,24.95,57.04,0,1,30.15,1,1031.07
11,16.72,69.46,0,1,63.05,2,540.07
21,29.06,79.76,0,1,56.01,2,619.29
16,53.81,20.23,0,0,10.13,1,1230.98
15,42.67,72.34,0,1,37.88,1,897.14
14,40.32,57.08,2,1,30.53,1,1034.5
11,30.17,100.0,1,1,81.5,2,348.49
10,77.06,100.0,0,0,23.47,1,1050.78
10,73.22,64.81,0,0,12.24,1,1236.34
10,36.63,37.56,0,0,30.26,1,1023.81
18,14.05,74.34,0,1,54.62,2,644.05
12,90.4,67.89,1,1,6.28,1,1286.27
8,92.63,100.0,0,0,1.66,1,1340.68
22,68.84,100.0,1,1,26.1,1,992.32
19,31.82,89.31,0,1,62.62,2,481.4
20,38.96,60.27,1,0,29.39,1,1020.88
23,57.78,85.56,1,0,39.58,1,842.02
10,34.49,77.3,0,0,51.65,2,618.51
13,46.07,76.83,1,1,49.76,2,620.57
17,17.3,40.84,1,0,29.95,1,976.35
16,61.77,93.24,1,0,38.97,1,893.54
9,54.86,74.16,0,0,38.33,1,903.67
18,35.46,69.98,2,0,41.7,2,805.08
10,14.6,60.0,1,0,57.06,2,583.51
10,27.55,56.13,0,0,40.41,2,798.35
14,18.16,78.35,0,0,57.23,2,618.65
15,56.8,37.02,0,0,9.07,1,1255.07
15,36.25,87.79,0,0,61.81,2,520.73
8,58.91,50.92,2,0,20.42,1,1113.97
19,10.05,30.83,0,0,30.11,1,929.18
11,58.27,100.0,2,0,33.44,1,948.68
9,45.75,54.84,0,0,28.96,1,983.93
19,51.37,57.56,0,0,31.35,1,1019.38
21,21.49,94.69,2,1,57.08,2,565.67
19,37.17,100.0,0,0,62.2,2,537.15
18,35.25,41.34,1,0,26.51,1,1019.01
16,57.3,52.88,2,1,17.06,1,1128.55
14,15.25,54.35,2,1,43.37,2,770.92
8,17.44,90.7,1,0,64.42,2,494.37
13,16.63,100.0,2,0,65.55,0,468.96
12,14.74,50.39,1,1,50.01,2,620.7
11,15.83,100.0,0,1,91.05,0,126.3
17,37.36,57.82,1,0,45.91,2,726.5
14,43.59,78.72,2,0,43.0,2,762.45
8,14.93,46.57,0,0,43.5,2,767.06
10,37.71,69.56,0,0,50.14,2,708.29
16,44.34,69.78,1,1,48.55,2,705.33
8,58.59,65.7,1,0,27.78,1,1046.66
19,7.6,79.7,0,0,72.43,0,332.21
14,45.0,51.86,1,1,21.88,1,1056.44
14,44.7,54.33,1,0,30.65,1,979.56
15,38.68,80.76,1,0,45.18,2,772.44
